OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
602,1979007,Nimbus Shoals Public Access,1979/02/07 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Sacramento,35000,26589.69,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),607,1971.89059169,156248.34765625,2525.76812838728,3f7ff842-8a66-49f5-89b9-f2fe0dca932c
603,1979008,San Clemente Fishing Pier,1979/02/07 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of San Clemente,Orange,44050,87450,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),608,872.583932443,16983.9375,1045.87344404953,5d59ed0f-d06e-4e5f-b2c4-b33b48506d76
604,1979009,San Dieguito Lagoon,1979/02/07 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,San Diego,595000,595000,124, ,609,3013.06176498,576528.29296875,3592.33664406385,4128f547-d5e6-4b68-8239-9788d642e317
605,1979011,"Tomales Bay, Walker Creek Marsh",1979/02/07 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Marin,30460,27221.15,16, ,610,918.985541402,64621.234375,1170.78994679607,1f7496a4-a488-4da7-b857-88be0421b7d1
606,1979012,Camp Cady Wildlife Area,1979/04/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,San Bernardino,995300,983000,1223, ,611,18433.9224535,7482559.953125,22503.3260140448,409ff2b7-25fb-4933-a1b2-37fac4c2499f
607,1979014,Goleta Fishing Pier,1979/04/16 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Santa Barbara,Santa Barbara,476500,949132.99,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),612,236.648787339,2759.37890625,287.584603728471,3ef755e4-8787-4019-8b6d-d168a2f14edc
608,1979015,"Lake Tahoe FA, Improvements",1979/04/16 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access, ,Placer,0,0,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),613,1186.06970287,58084.78515625,1531.57739931913,7e98d8a5-c0c6-4add-8bb5-68a0bed43017
609,1979017,Paradise Beach Fishing Pier Recon,1979/04/16 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Marin,Marin,162800,1775557.87,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),614,292.566270448,3093.8359375,371.09475833497,3d39f57c-9cbd-45af-bd5f-cf7ec8431276
610,1979019,Westgate Landing (Change in Scope),1979/04/16 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access, ,San Joaquin,0,0,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),615,842.335852924,33929.26171875,1071.69071610742,427393fc-b774-4c7f-bf48-8488d850312a
611,1979020,"Bass Hill Wildlife Area, Expansion # 1",1979/06/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Lassen,83500,83500,200, ,616,4813.72130332,1387087.671875,6317.70724196393,659043d0-ec5c-4612-a02e-6b47eb107337
612,1979021,Crescent City Marsh,1979/06/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Del Norte,856000,826500,334, ,617,9682.83032547,2145712.921875,12979.9982370823,a0bdc89c-0840-4fae-98dd-612e0923ff25
613,1979022,Deep Springs Lake,1979/06/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,California Department of Fish and Wildlife,Inyo,78500,78500,720, ,618,8038.7511052,4570360.15625,10112.707566158,8301ef9e-9b65-410c-a130-c10a23db08b6
614,1979024,Madera Lake Public Fishing Access,1979/06/22 00:00:00+00,Transaction,Disposal/Sale,Miscellaneous Projects Program,Other,Madera Irrigation District,Madera,0,0,1092.5, ,619,11621.9147206,7552472.55859375,14571.2436101134,8d9d3cf1-f833-4145-ba92-d200e55e37ee
615,1979025,Mendota Wildlife Area Addition,1979/06/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,California Department of Fish and Wildlife,Fresno,40000,40000,10.48, ,620,803.889262951,48525.64453125,1004.15764005326,d6692158-0149-476e-bd68-d36f38346d46
616,1979026,Sacramento River Riparian Habitat-Merrills Landing,1979/06/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Tehama,118944,112944,312, ,621,4711.87869834,2121509.1640625,6144.84425919461,ea1cf222-928d-4241-ba9e-40b08e6c2d23
617,1979027,Suisun City (Peytonia Slough Ecological Reserve),1979/06/22 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Suisun City,Solano,70000,70000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),622,249.577246281,4619.12109375,317.890312191512,164788ae-a4b8-461e-8b4f-e622a7b5f79b
618,1979029,Acker Island,1979/09/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,San Joaquin,7500,7500,25, ,623,1133.71439716,136771.5546875,1439.83118626781,ac714e80-bbf8-4096-9df4-7f06a890febf
619,1979030,Antioch Bridge Fishing Pier,1979/09/20 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,East Bay Regional Park District,Contra Costa,92000,92000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),624,256.953474021,4051.44921875,326.549824900341,a7d8efd1-344d-4bbc-8480-4166cd72ba13
620,1979031,Delta Fisheries Base Relocation,1979/09/20 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,DFG Facility,California Department of Fish and Wildlife,Contra Costa,66000,66000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),625,159.626071125,2219.890625,202.815470891681,4efc0cc2-b212-4721-8c76-31e8378f5d43
621,1979032,Elkhorn Slough,1979/09/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Monterey,63500,133500,162, ,626,3368.83470483,977176.61328125,4213.26135721028,ab6d87fa-80d4-4e15-9638-d98a8e3f2ca2
622,1979033,Emeryville Fishing Pier,1979/09/20 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Emeryville,Alameda,100000,172591.36,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),627,326.443600397,4922.26953125,413.606697526313,01e19c4f-4bc2-4ab3-81c9-60d832b8413d
623,1979034,Keys Creek,1979/09/20 00:00:00+00,Acquisition,Fee Title,Public Access Program,Riparian Habitat,California Department of Fish and Wildlife,Marin,44800,44800,17, ,628,3583.96873328,174285.59375,4566.55769005397,754d2db3-e959-4103-9db5-0a702c46de72
624,1979035,Lake Cuyamaca North Shore Improvements (Phase II),1979/09/20 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Lake Cuyamaca Recreation and Park District,San Diego,58100,57934.19,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),629,113.327752821,659.51953125,135.373914137532,98c7f781-bc67-4f41-81dd-3788ff5254d1
625,1979037,Paradise Beach Fishing Pier Recon,1979/09/20 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Marin,Marin,0,0,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),630,292.566270448,3093.8359375,371.09475833497,987aa447-5aa0-4750-a385-b054a97d3d83
626,1979038,"Petaluma Marsh, Channel Drive",1979/09/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Marin,92500,85000,53, ,631,2414.87903871,523862.19921875,3072.48056431734,b6c40fc3-c66a-4b68-8d52-679b12df1950
627,1979039,"Putah Creek, Expansion 3",1979/09/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Yolo,101000,187385.56,488, ,632,7629.14776694,3218828.546875,9755.41188134463,3995460a-8f3f-4fa9-aa7b-27eb88669886
628,1979042,White Slough Ponds Public Access,1979/09/20 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,California Department of Water Resources,San Joaquin,43000,14639.39,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),633,24703.9602328,4807563.13671875,31443.2266762194,b367c10f-dd0f-4ffb-8a9b-541d6288cc9c
629,1980001,Alameda Estuary PA,1980/01/10 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Alameda,Alameda,112400,111100.52,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),634,1545.46239849,45938.1640625,1957.21539195746,387d0d6a-888a-4526-9873-470cc49cb276
630,1980002,Black Rock Hatchery Pipeline,1980/01/10 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Inyo,320000,319267.54,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),635,1795.02795069,277122.76953125,2247.66935095985,765327c1-6c0f-4cba-9ef1-045ba21680b2
631,1980003,Capitola Fishing Wharf,1980/01/10 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Capitola,Santa Cruz,298700,597400,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),636,581.526260692,6973.578125,728.874253249262,1620ca25-6228-4718-a5bc-510062c58706
632,1980004,Delta Fisheries Base Relocation (Change of Scope),1980/01/10 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,DFG Facility,California Department of Fish and Wildlife,Contra Costa,0,0,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),637,159.626071125,2219.890625,202.815470891681,41ba3ad2-fc51-456e-82d8-07f6ad36e46e
633,1980005,Elkhorn Slough,1980/01/10 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Monterey,2320000,2320000,821, ,638,10287.9312488,5092562.23828125,12863.6411380245,67820d3e-73f1-44d5-8e9a-ee28cf28b690
634,1980006,Lake Piru Improvements,1980/01/10 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,United Water Conservation District,Ventura,25000,25000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),639,393.634222483,7900.23828125,477.639233296725,458371a0-ed31-44f6-b88e-f04bb8126fad
635,1980007,Oyster Point Fishing Pier,1980/01/10 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,San Mateo County Harbor District,San Mateo,222000,390580.43,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),640,372.777020877,4926.421875,471.102337728014,4ada2a37-0dbf-4128-a086-95b861160d39
636,1980008,Rio Vista Fishing Pier,1980/01/10 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Rio Vista,Solano,28300,48854.66,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),641,256.445988907,5076.49609375,326.470875936124,e3d62fc0-4091-4f44-bf22-3bf3cd36bff7
637,1980012,"Trinity River, Deadwood Hole",1980/01/10 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Trinity,48000,48000,4, ,642,712.293877482,29826.9921875,938.922571340354,23ae7d21-8c4e-4aaa-b868-5157ea42674f
638,1980013,"Vallejo Fishing Pier, Rehabilitation",1980/01/10 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Greater Vallejo Recreation District,Solano,60000,60000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),643,207.544922976,2986.953125,264.12059138393,2f213985-3f3f-4a04-a953-e269932b8275
639,1980014,Antelope Valley Wildlife Area,1980/05/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Sierra,535000,517072.08,2080, ,644,33714.4578755,22600793.6835938,43794.8048321974,6e798287-a3b6-4f39-9c99-db5602253bd7
640,1980016,"Bass Hill Wildlife Area, Expansion #2",1980/05/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Lassen,72500,70313,140, ,645,4019.95348597,972463.43359375,5277.29683022544,9ccea419-b44a-4f37-98bb-b0f208dd2a9f
641,1980017,"Coon Hollow Wildlife Area, Snow Mountain Unit",1980/05/02 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Butte,44971.23,0,169, ,646,9729.32813403,3114580.5,12712.1320039974,71724c47-54d0-4b12-b44d-b9d92b56c838
